Predictor,Estimate,Lower,Upper,Sig,,,,,,,,,,
(Intercept),0,0,0,N,,,,,,,,,,
sleep_hrs,-0.05848972,-0.074428082,-0.038213492,Y,,,,,,,,,p_depression,0.299219019
p_monitoring,-0.043054507,-0.06016165,-0.024250072,Y,,,,,,,,,weightcontrol_ksads,0.205256395
area_depriv,-0.040230936,-0.053884797,-0.018014047,Y,,,,,,,,,witness_dv,0.170507296
income,0.021351446,-0.002045992,0.036637563,N,,,,,,,,,p_acceptance,-0.034016306
parent_ed,-0.010535487,-0.021939182,0.006908634,N,,,,,,,,,comm_safety,-0.02260905
p_acceptance,-0.034016306,-0.050173802,-0.014924851,Y,,,,,,,,,sleep_hrs,0.05848972
comm_safety,-0.02260905,-0.039421646,-0.000462837,Y,,,,,,,,,p_monitoring,0.043054507
site_id_l,-0.01858562,-0.033637611,-0.002184984,Y,,,,,,,,,interview_age,0.042658159
days_acti,-0.01838438,-0.032613134,-0.000108608,Y,,,,,,,,,area_depriv,0.040230936
bmi,0.023605734,0.00388757,0.038297694,Y,,,,,,,,,fam_conflict,0.034276714
fam_conflict,0.034276714,0.016336336,0.050280253,Y,,,,,,,,,bmi,0.023605734
interview_age,0.042658159,0.024967471,0.05633785,Y,,,,,,,,,days_acti,0.01838438
witness_dv,0.170507296,0.089980945,0.244061844,Y,,,,,,,,,,
tobacco_puff,0.089074857,-0.147654959,0.27866253,N,,,,,,,,,,
weightcontrol_ksads,0.205256395,0.082441599,0.311056103,Y,,,,,,,,,,
witness_comm_violence,-0.166174137,-0.326828772,0.077897059,N,,,,,,,,,,
death_loved_one,0.014684587,-0.024758446,0.046327806,N,,,,,,,,,,
p_depression,0.299219019,0.272666493,0.313795376,Y,,,,,,,,,,
s_abuse,0.154304897,-0.007541092,0.292994463,N,,,,,,,,,,
p_abuse,0.071831201,-0.22161119,0.364584139,N,,,,,,,,,,
emot_abuse,0.210200147,-0.113312205,0.532941508,N,,,,,,,,,,
serious_accident,0.031479419,-0.040540815,0.093301297,N,,,,,,,,,,
needed_food,0.021862158,-0.050256827,0.085223348,N,,,,,,,,,,
gender,-0.01315485,-0.031817928,0.015850976,N,,,,,,,,,,
Test R^2 all,0.12789108,0.100275109,0.157802651,NA,,,,,,,,,,
Test MSE all,0.841551916,NA,NA,NA,,,,,,,,,,
Test R^2 sig,0.123294916,0.096056963,0.152897012,NA,,,,,,,,,,
Test MSE sig,0.84598482,NA,NA,NA,,,,,,,,,,
