"Predictor","Estimate","Lower","Upper","Sig"
"(Intercept)",0,0,0,"N"
"site_id_l",-0.0138673301183655,-0.0283048107857652,0.00103759215890608,"N"
"sleep_hrs",-0.151641108261819,-0.169075616018599,-0.126900161355112,"Y"
"bmi",-0.0141814257789918,-0.0284627566350471,0.00738263435742824,"N"
"income",0.00220994673842573,-0.0198370717174679,0.0139290730662047,"N"
"parent_ed",-0.00829461078894723,-0.0191390383657351,0.00955883567905282,"N"
"area_depriv",-0.0644133686299234,-0.0767904894243073,-0.0422888739001166,"Y"
"comm_safety",-0.023270817115177,-0.0363697562526763,-0.00197931960811434,"Y"
"days_acti",-0.012882541650665,-0.0254879081219635,0.00640094022527695,"N"
"fam_conflict",0.0435919747393244,0.0249029643364494,0.0592222806939873,"Y"
"p_monitoring",-0.0330310234086567,-0.0505611213752518,-0.013730202102041,"Y"
"p_acceptance",-0.0306896644990896,-0.0479830053812216,-0.0122707814343036,"Y"
"p_depression",0.360502477257861,0.334888848676382,0.377621681449384,"Y"
"interview_age",0.0271957602443294,0.00961865120885542,0.0403375449767293,"Y"
"tobacco_puff",0,-0.229933737141645,0.196569837573142,"N"
"weightcontrol_ksads",0.363806041717021,0.210672435424996,0.490176497555539,"Y"
"witness_comm_violence",0.185039832354551,-0.0388868874838207,0.373608984745035,"N"
"death_loved_one",0.0470578382363106,0.0073554239295236,0.0813012822720708,"Y"
"witness_dv",0.118144275658412,0.0452458627803659,0.185409350500129,"Y"
"s_abuse",0.114968805027408,-0.0503148523936854,0.262833742304089,"N"
"p_abuse",0.36945999992888,0.0677530404775621,0.657727580045335,"Y"
"emot_abuse",0.137221730407897,-0.10954449952572,0.379406047507962,"N"
"serious_accident",0.0631124709364287,-0.00696564488054832,0.12605872265313,"N"
"needed_food",0.165593806691645,0.0821522290791547,0.239309764207139,"Y"
"gender",-0.102978707410057,-0.11910746814058,-0.07378771789392,"Y"
"Test R^2 all",0.212512939578141,0.180761555115301,0.245400658586335,NA
"Test MSE all",0.801046654724142,NA,NA,NA
"Test R^2 sig",0.207121661134884,0.175601184764116,0.239836637168276,NA
"Test MSE sig",0.806531336784466,NA,NA,NA
