"","Predictor","Estimate","Lower","Upper","Sig"
"1","(Intercept)",0,0,0,"N"
"2","site_id_l",-0.01735847101561,-0.0311577194819438,-0.0022849121232218,"Y"
"3","sleep_hrs",-0.0545796572241056,-0.0679816573515363,-0.0325545535498835,"Y"
"4","bmi",0.0170822838709289,-0.00449771569847222,0.0295098860123831,"N"
"5","income",0.0234277536491942,-0.00493208520967128,0.0330277630884317,"N"
"6","parent_ed",-0.0181117162556418,-0.0290536769326618,0.00247292804157495,"N"
"7","area_depriv",-0.0182437335742891,-0.0314737191306866,0.00704678637631022,"N"
"8","comm_safety",-0.00587863503468582,-0.0161858488183712,0.0188960552519929,"N"
"9","days_acti",-0.0176018365507909,-0.0295247552047928,0.00320656928825364,"N"
"10","fam_conflict",0.0262171960323052,0.00740196286105017,0.0424301097314739,"Y"
"11","p_monitoring",-0.0361829342008454,-0.0526297989058996,-0.016231449601142,"Y"
"12","p_acceptance",-0.0286466804249903,-0.0449031056493233,-0.00714996761833198,"Y"
"13","p_depression",0.306733846961669,0.283982487642864,0.32545346010791,"Y"
"14","interview_age",0.0486482541527383,0.0288698700804942,0.0620978356015578,"Y"
"15","tobacco_puff",0,-0.240478964692364,0.188024358792328,"N"
"16","weightcontrol_ksads",0.172268763021888,0.0497091194131001,0.269338644844197,"Y"
"17","witness_comm_violence",-0.124875696721973,-0.249751393443946,0.173091623851685,"N"
"18","death_loved_one",0.00204857275278368,-0.0403346820827703,0.0301892124625413,"N"
"19","witness_dv",0.119147559806834,0.0384891621595392,0.187646918086106,"Y"
"20","s_abuse",0.179962502040044,0.0197077205016772,0.307903639011518,"Y"
"21","p_abuse",0.144110096135452,-0.198389564750612,0.408099422754536,"N"
"22","emot_abuse",0.145475704154332,-0.175547549425467,0.418974007777983,"N"
"23","serious_accident",0.0197616375805553,-0.0623213359689551,0.0758980321005598,"N"
"24","needed_food",0.0181211369252051,-0.0688746345461257,0.0709010721441683,"N"
"25","birthsex",-0.000683763606188072,-0.0146545829316104,0.0341019184096641,"N"
"26","Test R^2 all",0.146746543607539,0.117531348665214,0.178014852918299,NA
"27","Test MSE all",0.853678038249572,NA,NA,NA
"28","Test R^2 sig",0.143998416584134,0.114979184510275,0.175109270010396,NA
"29","Test MSE sig",0.856426631024534,NA,NA,NA
