"Predictor","Estimate","Lower","Upper","Sig"
"(Intercept)",0,0,0,"N"
"site_id_l",-0.0048723918745599,-0.0191234394070219,0.0103277183254692,"N"
"sleep_hrs",-0.14620399496264,-0.164081572779453,-0.123140989965839,"Y"
"bmi",-0.016131768968476,-0.032263537936952,0.00393120874993829,"N"
"income",0.00117112809518386,-0.0206901757157449,0.0138103711466405,"N"
"parent_ed",-0.0216472441214179,-0.0346489103039653,-0.00441221604222827,"Y"
"area_depriv",-0.0583188350029826,-0.0728373256070136,-0.0380528850889575,"Y"
"comm_safety",-0.0235555440867992,-0.0376590405430863,-0.00362747031028408,"Y"
"days_acti",-0.0280138150848222,-0.0425449977255039,-0.0101999810998825,"Y"
"fam_conflict",0.0429714840135693,0.0239864723738232,0.0595037854002778,"Y"
"p_monitoring",-0.0285033500011953,-0.0471365956560081,-0.00992883455905289,"Y"
"p_acceptance",-0.0261697591751864,-0.0432759775946255,-0.00706064950576418,"Y"
"p_depression",0.366521636561756,0.342283680816231,0.383935437986678,"Y"
"interview_age",0.0226943079548472,0.00577515513246037,0.0361416684636229,"Y"
"tobacco_puff",0,-0.232998192496211,0.205153091348122,"N"
"weightcontrol_ksads",0.348469165269296,0.214828872692764,0.462820018748243,"Y"
"witness_comm_violence",0.116317870817696,-0.101840834974298,0.300164838951126,"N"
"death_loved_one",0.039454511397158,0.00111764376011465,0.0767761151593433,"Y"
"witness_dv",0.0924466769573291,0.0202234796498962,0.158825186014079,"Y"
"s_abuse",0.165552172262345,0.00612056200127048,0.325243882587274,"Y"
"p_abuse",0.509285794293671,0.215720978951793,0.794099097192063,"Y"
"emot_abuse",0.087628051150262,-0.153773277466251,0.322763172950965,"N"
"serious_accident",0.0903488542926591,0.0197011901595757,0.155863592184458,"Y"
"needed_food",0.143062334324955,0.0610105520701432,0.215866706085133,"Y"
"birthsex",-0.0919780133427953,-0.110005034058118,-0.0645454477697227,"Y"
"Test R^2 all",0.232840907173667,0.200370212592893,0.266231243508635,NA
"Test MSE all",0.762563407356504,NA,NA,NA
"Test R^2 sig",0.232879365344404,0.200425384484709,0.266251553195237,NA
"Test MSE sig",0.762525345596513,NA,NA,NA
