"","Predictor","Estimate","Lower","Upper","Sig"
"1","(Intercept)",-0.00777958541725891,-0.00932054512945387,-0.00627567934037543,"Y"
"2","site_id_l",-0.025252434977861,-0.0463732273827949,-0.00284859574677986,"Y"
"3","tobacco_puff",0.012015451303759,-0.000145713117795356,0.0230366099205943,"N"
"4","weightcontrol_ksads",0.0156914271643759,0.00972073234174555,0.0220973072881989,"Y"
"5","witness_comm_violence",0.0060272547004252,-0.00270953098861468,0.0142345392022602,"N"
"6","death_loved_one",0.00779484982319706,0.00590979439695582,0.00987279486821186,"Y"
"7","witness_dv",0.016833497438947,0.0129342919699972,0.0207270696156182,"Y"
"8","s_abuse",0.0255601361761499,0.0173700176558456,0.0333113802136886,"Y"
"9","p_abuse",0.011310406698282,-0.00182068624433515,0.0222529579803367,"N"
"10","emot_abuse",0.0265409198587032,0.012331176423021,0.0391259496714145,"Y"
"11","serious_accident",0.00899287265726586,0.00532543529704121,0.0125397321757237,"Y"
"12","sleep_hrs",-0.00247415386168837,-0.00341765270765996,-0.00158850957288799,"Y"
"13","bmi",0.00153042717996457,0.000646994303008706,0.00236009938619624,"Y"
"14","needed_food",0.0111488049037476,0.00747846008890816,0.0147354681630416,"Y"
"15","income",-0.00123578752638823,-0.00198836695166044,-0.000403753859995925,"Y"
"16","parent_ed",0.00053901240577126,-0.00027269639514943,0.00136575004285192,"N"
"17","gender",0.00337731050643502,0.00175670480100125,0.00507304022283087,"Y"
"18","area_depriv",0.000575940921896784,-0.000185144475833339,0.00135009553869557,"N"
"19","comm_safety",-0.00284462627097391,-0.00369294525508387,-0.00201609429666987,"Y"
"20","days_acti",-0.000719445248454047,-0.00153571600327972,7.22478701321073e-05,"N"
"21","fam_conflict",0.0024311133444194,0.00161297573820164,0.0032824194977649,"Y"
"22","p_monitoring",-0.00222167154805027,-0.00312239018089006,-0.00139787535193174,"Y"
"23","p_acceptance",-0.0016460806597716,-0.00251143682727846,-0.000793629637185674,"Y"
"24","p_depression",0.0134693169679311,0.0123891232955297,0.0145068720797015,"Y"
"25","interview_age",0.000973314828971319,0.000166437117209653,0.00180647696625052,"Y"
"26","Test R^2 all",0.0615179868614343,0.0416688492926703,0.0846410748866747,NA
"27","Test MSE all",0.912539641523058,NA,NA,NA
"28","Test R^2 sig",0.0618676805291735,0.0419543069947515,0.0850526548994699,NA
"29","Test MSE sig",0.912198900117348,NA,NA,NA
