"","Predictor","Estimate","Lower","Upper","Sig"
"1","(Intercept)",-0.00661548107297082,-0.00800208340678389,-0.00520546130658423,"Y"
"2","site_id_l",-0.0222337568671769,-0.043639228649598,-0.00141992670528681,"Y"
"3","tobacco_puff",0.0104287602373485,-0.000128905463686067,0.0196277287425046,"N"
"4","weightcontrol_ksads",0.0203341701223499,0.0145327350469183,0.0258921585651438,"Y"
"5","witness_comm_violence",0.0181654403722999,0.00860746175386038,0.0270008887240394,"Y"
"6","death_loved_one",0.00721342672456692,0.0056156005948549,0.00886316302372045,"Y"
"7","witness_dv",0.01587898610694,0.0129096985416059,0.0189433555573374,"Y"
"8","s_abuse",0.021142469186636,0.0141824498925948,0.0279328011642805,"Y"
"9","p_abuse",0.0192041082438797,0.00879266712083728,0.0286892893133466,"Y"
"10","emot_abuse",0.0262698804949924,0.016182120171819,0.0359045061898555,"Y"
"11","serious_accident",0.00981847348716966,0.00676612859511712,0.0127700011229918,"Y"
"12","sleep_hrs",-0.00372679061706409,-0.00449954087911335,-0.0029098480850766,"Y"
"13","bmi",0.00145404436418927,0.000703144877716882,0.00214447421616371,"Y"
"14","needed_food",0.0154237260762948,0.0119863477907261,0.0185951983889379,"Y"
"15","income",-0.00256589263872805,-0.00321270378361518,-0.0018578728107009,"Y"
"16","parent_ed",0.000801117142113824,0.000148329662186685,0.00145929666102174,"Y"
"17","gender",-3.100171760346e-05,-0.00131694939405948,0.00131300645129118,"N"
"18","area_depriv",0.00159497420683865,0.000960691507084117,0.00224555932941169,"Y"
"19","comm_safety",-0.00328482700053849,-0.00402923817876378,-0.00258795918591164,"Y"
"20","days_acti",-0.00074237149000274,-0.00138996523854941,-7.18560585251469e-05,"Y"
"21","fam_conflict",0.00278314678284329,0.0021049353359676,0.00349588226079576,"Y"
"22","p_monitoring",-0.00225827737537977,-0.00297779562231369,-0.00155403328919052,"Y"
"23","p_acceptance",-0.00142490738599263,-0.00215353617022059,-0.000685891251906066,"Y"
"24","p_depression",0.0135855173423737,0.0127409394347515,0.0144381288714814,"Y"
"25","interview_age",0.000513184340307832,-0.000157482806665307,0.00115865632478618,"N"
"26","Test R^2 all",0.119206762963198,0.0933563086852372,0.147290497802334,NA
"27","Test MSE all",0.912865625789098,NA,NA,NA
"28","Test R^2 sig",0.119484579367071,0.0936108627429715,0.147587718394398,NA
"29","Test MSE sig",0.912577726352647,NA,NA,NA
