"","Predictor","Estimate","Lower","Upper","Sig"
"1","(Intercept)",0,0,0,"N"
"2","site_id_l",-0.0252350666826362,-0.0469124381028888,-0.000969641977442662,"Y"
"3","total_su_days",0.0175109442180217,-0.0590986966638676,0.0917943313657077,"N"
"4","weightcontrol_ksads",0.220245325901856,-0.0382163729222603,0.366883092330419,"N"
"5","witness_comm_violence",-0.158756508165894,-0.450116796870871,0.319818339571729,"N"
"6","death_loved_one",-0.032357528680533,-0.0770074309422734,0.0485038025861892,"N"
"7","witness_dv",0.00932286896698316,-0.205356318070381,0.150533451393088,"N"
"8","s_abuse",0.356126018299399,-0.13174827564598,0.685927008186692,"N"
"9","p_abuse",0.100079387686827,-0.611144772850214,0.574863969797829,"N"
"10","emot_abuse",0.329262727486668,-0.213731566205136,0.754172426108854,"N"
"11","serious_accident",0.0729614213959738,-0.0761020344771184,0.146455741018528,"N"
"12","bkfs_fruit",-0.00380469779164247,-0.0174831872674764,0.0488847129268544,"N"
"13","bkfs_veg",-0.0117617095151872,-0.0235234190303744,0.0447747988557039,"N"
"14","bkfs_fiber",0,-0.0715419516862789,0.0083546810464585,"N"
"15","sleep_hrs",-0.0926179328882819,-0.114727502036488,-0.0527893122360574,"Y"
"16","bmi",0.0113742855884174,-0.0273163138288607,0.0306885095590504,"N"
"17","needed_food",0,-0.159899763883623,0.117835379688239,"N"
"18","income",0,-0.0417423546596351,0.0265297964026249,"N"
"19","parent_ed",-0.0157948786524294,-0.0311338244741523,0.0194307989689865,"N"
"20","gender",0,-0.0223110699603464,0.108170003251681,"N"
"21","area_depriv",-0.0579301881546387,-0.0816226723015504,-0.0190739122304231,"Y"
"22","comm_safety",0,-0.0367274360765983,0.0201779882001496,"N"
"23","discrimination",-0.00659337186309648,-0.0252805038848901,0.0404977839285113,"N"
"24","days_acti",-0.0178666281066014,-0.0360690144696469,0.0162958873697343,"N"
"25","bullying_victim",0.0802661858337407,0.0450940716678085,0.1206977647947,"Y"
"26","bullying_gender",0.0187510000943728,-0.0585199287048319,0.0375020001887455,"N"
"27","cyberbullying",0.0288993747256283,-0.113441583303744,0.107949617485315,"N"
"28","chronotype",0,-0.0312647684903397,0.0192597902403468,"N"
"29","life_events",0.112130532916622,0.0782774865195411,0.146195240618215,"Y"
"30","fam_conflict",0.0112930351882157,-0.0257134413970491,0.0376332753521226,"N"
"31","p_monitoring",-0.0380642394861109,-0.0625314075409001,-0.0026041591877307,"Y"
"32","eff_control",-0.239207270996187,-0.269865588524872,-0.205590020954579,"Y"
"33","p_depression",0.272921872764391,0.234474555632121,0.305252355044189,"Y"
"34","interview_age",0.0155661836967676,-0.0157763233394361,0.0345566616559794,"N"
"35","Test R^2 all",0.281126461348759,NA,NA,NA
"36","Test MSE all",0.700446811634373,NA,NA,NA
"37","Test R^2 sig",0.267655687513079,NA,NA,NA
"38","Test MSE sig",0.713572292092526,NA,NA,NA
