"","Predictor","Estimate","Lower","Upper","Sig"
"1","(Intercept)",0,0,0,"N"
"2","site_id_l",-0.0339630985028728,-0.0588300901589271,-0.0104597820428182,"Y"
"3","total_su_days",0,-0.055927606956181,0.082669170481988,"N"
"4","weightcontrol_ksads",0.1490834517652,-0.107924102563133,0.25259433665724,"N"
"5","witness_comm_violence",-0.00149367187081252,-0.13778554238296,0.663252697887759,"N"
"6","death_loved_one",0,-0.0486234552092483,0.0731280968524155,"N"
"7","witness_dv",0.0394263353125963,-0.186581912456932,0.14250731870882,"N"
"8","s_abuse",0.485727674230987,-0.0631759122040523,0.794049739124182,"N"
"9","p_abuse",0.00264281348794494,-0.729315395247519,0.320458684274334,"N"
"10","emot_abuse",0.0978788784212944,-0.413559237679498,0.419215493857242,"N"
"11","serious_accident",0.0425867755144454,-0.128337709116696,0.0851735510288907,"N"
"12","bkfs_fruit",0,-0.0194995778253776,0.0470574397616929,"N"
"13","bkfs_veg",0,-0.0277450187634727,0.037107843793183,"N"
"14","bkfs_fiber",0,-0.0597380056318465,0.0209446119962405,"N"
"15","sleep_hrs",0,-0.02378516109071,0.0350128937549848,"N"
"16","bmi",0.00210467751180128,-0.0427231424903782,0.0127596890755223,"N"
"17","needed_food",0,-0.0980019402181591,0.163276906317075,"N"
"18","income",0,-0.0330789769071758,0.0334506387265278,"N"
"19","parent_ed",0,-0.0175193768524129,0.0321750459536671,"N"
"20","gender",0,-0.0299731647888446,0.107619035139667,"N"
"21","area_depriv",-0.0234532218259519,-0.0264335956296826,0.0361797699101093,"N"
"22","comm_safety",0,-0.0106381532303155,0.0459750062212324,"N"
"23","discrimination",0,-0.0214562697314986,0.0421548733141674,"N"
"24","days_acti",-0.00571674883246239,-0.0174643530704835,0.0344529576003986,"N"
"25","bullying_victim",0.0670990013993187,0.0239198007516005,0.100394212061799,"Y"
"26","bullying_gender",0.0515685061071295,-0.0302941428174068,0.064595021194608,"N"
"27","cyberbullying",0,-0.120707416218035,0.0973795812933144,"N"
"28","chronotype",0,-0.0255466541068377,0.024202641947747,"N"
"29","life_events",0.138344263858548,0.0984805735176248,0.168392060282994,"Y"
"30","fam_conflict",0,-0.0235941634431541,0.0364456978918064,"N"
"31","p_monitoring",-0.00488630228490709,-0.0175244003270964,0.0401803048495542,"N"
"32","eff_control",-0.187612046880249,-0.212594074853385,-0.146907474022767,"Y"
"33","p_depression",0.319632446948201,0.27633782924622,0.354368903071903,"Y"
"34","interview_age",0.00112589243272299,-0.0379471096330934,0.0147504908832749,"N"
"35","Test R^2 all",0.263087298882223,NA,NA,NA
"36","Test MSE all",0.710690673629408,NA,NA,NA
"37","Test R^2 sig",0.250286945441405,NA,NA,NA
"38","Test MSE sig",0.72303554405402,NA,NA,NA
