"","x"
"(Intercept)",-4.91518940186415
"tlfb_use_days",0.0336413260808955
"weightcontrol_ksads",0.449661008661587
"witness_comm_violence",0.0391074346935317
"death_loved_one",0.077866862889612
"witness_dv",0.295923165934305
"s_abuse",0.694802725849155
"p_abuse",0.4120879640005
"emot_abuse",0.592313562790843
"serious_accident",0.171402198991814
"bkfs_fruit",-0.0348175887039925
"bkfs_veg",-0.0319904390498137
"sleep_hrs",0.135533854504934
"bmi",0.00722158048249251
"needed_food",0.201891173981695
"income",0.00121855394307528
"parent_ed",0.00583702280332251
"gender",-0.051522447411494
"comm_safety",-0.0204872603687909
"discrimination",0.0416630818459902
"days_active",-0.0188276020813533
"bully_relational",0.0352540438892779
"bully_reputational",0.0372326859864437
"bully_overt",0.0400945196959932
"chronotype",0.000785950606112026
"life_events",0.0611982163082657
"agemths",0.00556347091078056
"tlfb_use_days_gender",0.0114412045084712
"weightcontrol_ksads_gender",0.0541171917761678
"witness_comm_violence_gender",-0.0506899976419292
"death_loved_one_gender",0.00975824051106901
"witness_dv_gender",0.0140071539916785
"s_abuse_gender",0.0110312632539552
"p_abuse_gender",-0.0348853324192492
"emot_abuse_gender",-0.0127754380776055
"serious_accident_gender",0.0089422050351937
"bkfs_fruit_gender",-0.0257511102772633
"bkfs_veg_gender",-0.014088036214926
"sleep_hrs_gender",0.0499660692634174
"bmi_gender",9.84934005277675e-05
"needed_food_gender",0.000940883946837484
"income_gender",-0.00329833683118701
"parent_ed_gender",-0.0033768302613029
"comm_safety_gender",-0.0111319717658797
"discrimination_gender",-0.0096473930853138
"days_active_gender",-0.0130709673638453
"bully_relational_gender",0.00823966524652587
"bully_reputational_gender",0.0107841501535907
"bully_overt_gender",0.011500673302951
"chronotype_gender",-7.37282428252516e-05
"life_events_gender",0.0306830883322694
"agemths_gender",-0.000226144682434388
